station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KIAD,2026-09-21 12:00:00,4,304.0,9537.21,-32.7,-36.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,303.0,9560.32,-32.9,-38.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,300.0,9630.0,-33.5,-39.5,310.0,17,M,M
KIAD,2026-09-21 12:00:00,4,297.0,9700.46,-34.3,-38.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,294.73,9754.0,-34.71,-39.57,310.0,16,M,M
KIAD,2026-09-21 12:00:00,4,285.0,9987.77,-36.5,-42.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,282.12,10058.0,-37.17,-42.6,275.0,19,M,M
KIAD,2026-09-21 12:00:00,4,279.0,10134.86,-37.9,-42.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,278.0,10159.6,-38.1,-44.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,273.0,10284.27,-39.3,-45.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,269.0,10385.14,-40.5,-45.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,266.0,10461.52,-40.9,-46.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,265.0,10487.14,-41.1,-49.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,254.0,10773.62,-43.9,-48.6,M,M,M,M
KIAD,2026-09-21 12:00:00,4,250.0,10880.0,-44.9,-48.7,290.0,23,M,M
KIAD,2026-09-21 12:00:00,4,246.0,10987.87,-45.7,-49.2,M,M,M,M
KIAD,2026-09-21 12:00:00,4,243.0,11069.64,-46.5,-51.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,235.47,11278.0,-48.33,-51.77,290.0,25,M,M
KIAD,2026-09-21 12:00:00,4,234.0,11319.48,-48.7,-51.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,232.0,11375.98,-49.1,-53.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,226.0,11547.66,-50.7,-53.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,222.0,11664.04,-51.5,-57.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,217.0,11811.83,-52.7,-60.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,213.0,11932.64,-51.1,-61.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,211.0,11994.07,-51.5,-62.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,204.63,12192.0,-53.22,-62.5,270.0,40,M,M
KIAD,2026-09-21 12:00:00,4,200.0,12340.0,-54.5,-62.5,255.0,29,M,M
KIAD,2026-09-21 12:00:00,4,189.0,12697.83,-58.1,-64.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,188.0,12731.09,-58.3,-65.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,187.0,12764.56,-57.7,-66.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,181.0,12968.84,-59.1,-66.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,177.06,13106.0,-59.75,-67.41,245.0,21,M,M
KIAD,2026-09-21 12:00:00,4,175.0,13178.82,-60.1,-68.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,168.52,13411.0,-62.09,-67.83,280.0,26,M,M
KIAD,2026-09-21 12:00:00,4,161.0,13691.64,-64.5,-67.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,158.0,13805.95,-65.1,-68.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,155.0,13921.95,-66.3,-69.2,M,M,M,M
KIAD,2026-09-21 12:00:00,4,154.0,13960.98,-66.5,-69.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,152.48,14021.0,-66.2,-70.51,305.0,27,M,M
KIAD,2026-09-21 12:00:00,4,152.0,14039.85,-66.1,-70.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,150.0,14120.0,-65.3,-74.3,270.0,17,M,M
KIAD,2026-09-21 12:00:00,4,149.0,14160.74,-64.9,-75.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,148.0,14201.81,-64.7,-76.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,145.0,14326.0,-65.8,-75.69,300.0,22,M,M
KIAD,2026-09-21 12:00:00,4,141.0,14495.63,-67.3,-74.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,137.0,14668.63,-68.3,-78.3,250.0,21,M,M
KIAD,2026-09-21 12:00:00,4,134.0,14802.05,-66.3,-80.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,131.09,14935.0,-66.49,-78.55,245.0,20,M,M
KIAD,2026-09-21 12:00:00,4,131.0,14939.09,-66.5,-78.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,124.65,15240.0,-66.32,-81.94,275.0,25,M,M
KIAD,2026-09-21 12:00:00,4,124.0,15271.46,-66.3,-82.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,112.59,15850.0,-69.01,-83.16,250.0,25,M,M
KIAD,2026-09-21 12:00:00,4,107.01,16154.0,-70.43,-83.61,265.0,19,M,M
KIAD,2026-09-21 12:00:00,4,106.0,16211.08,-70.7,-83.7,245.0,24,M,M
KIAD,2026-09-21 12:00:00,4,105.0,16267.56,-68.5,-83.5,M,M,M,M
KIAD,2026-09-21 12:00:00,4,101.7,16459.0,-68.37,-84.02,240.0,23,M,M
KIAD,2026-09-21 12:00:00,4,100.0,16560.0,-68.3,-84.3,290.0,25,M,M
KIAD,2026-09-21 12:00:00,4,97.0,16744.69,-65.87,-85.51,305.0,16,M,M
KIAD,2026-09-21 12:00:00,4,96.69,16764.0,-65.62,-85.64,290.0,25,M,M
KIAD,2026-09-21 12:00:00,4,95.1,16864.63,-64.3,-86.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,95.0,16871.03,-64.33,-86.31,275.0,12,M,M
KIAD,2026-09-21 12:00:00,4,94.0,16935.35,-64.59,-86.4,250.0,14,M,M
KIAD,2026-09-21 12:00:00,4,92.0,17066.06,-65.12,-86.57,245.0,19,M,M
KIAD,2026-09-21 12:00:00,4,85.0,17547.07,-67.09,-87.23,270.0,33,M,M
KIAD,2026-09-21 12:00:00,4,84.3,17597.33,-67.3,-87.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,81.0,17840.28,-65.96,-87.93,280.0,19,M,M
KIAD,2026-09-21 12:00:00,4,76.2,18211.94,-63.9,-88.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,76.0,18227.98,-63.96,-88.93,245.0,14,M,M
KIAD,2026-09-21 12:00:00,4,70.0,18730.0,-65.9,-89.9,285.0,11,M,M
KIAD,2026-09-21 12:00:00,4,69.7,18755.99,-65.9,-89.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,69.0,18817.66,-65.68,-89.9,310.0,11,M,M
KIAD,2026-09-21 12:00:00,4,66.0,19089.23,-64.73,-89.9,285.0,7,M,M
KIAD,2026-09-21 12:00:00,4,65.0,19182.5,-64.41,-89.9,265.0,10,M,M
KIAD,2026-09-21 12:00:00,4,62.0,19471.19,-63.4,-89.9,300.0,15,M,M
KIAD,2026-09-21 12:00:00,4,59.0,19774.2,-62.34,-89.9,275.0,15,M,M
KIAD,2026-09-21 12:00:00,4,57.8,19899.73,-61.9,-89.9,M,M,M,M
KIAD,2026-09-21 12:00:00,4,57.0,19985.54,-62.22,-89.82,290.0,13,M,M
KIAD,2026-09-21 12:00:00,4,55.8,20116.52,-62.7,-89.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,54.0,20320.2,-60.67,-89.44,290.0,11,M,M
KIAD,2026-09-21 12:00:00,4,52.0,20554.62,-58.34,-89.13,320.0,12,M,M
KIAD,2026-09-21 12:00:00,4,51.8,20578.56,-58.1,-89.1,M,M,M,M
KIAD,2026-09-21 12:00:00,4,51.0,20676.01,-58.63,-88.75,310.0,13,M,M
KIAD,2026-09-21 12:00:00,4,50.0,20800.0,-59.3,-88.3,320.0,15,M,M
KIAD,2026-09-21 12:00:00,4,49.0,20925.71,-59.81,-88.6,340.0,17,M,M
KIAD,2026-09-21 12:00:00,4,47.0,21185.02,-60.87,-89.22,355.0,11,M,M
KIAD,2026-09-21 12:00:00,4,45.5,21386.84,-61.7,-89.7,M,M,M,M
KIAD,2026-09-21 12:00:00,4,45.0,21455.76,-61.06,-89.62,315.0,10,M,M
KIAD,2026-09-21 12:00:00,4,42.9,21753.84,-58.3,-89.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,42.0,21888.06,-57.96,-89.19,15.0,10,M,M
KIAD,2026-09-21 12:00:00,4,35.5,22952.49,-55.3,-88.3,M,M,M,M
KIAD,2026-09-21 12:00:00,4,34.0,23228.83,-54.84,-88.09,255.0,10,M,M
KIAD,2026-09-21 12:00:00,4,33.0,23419.92,-54.52,-87.95,285.0,11,M,M
KIAD,2026-09-21 12:00:00,4,32.0,23616.89,-54.19,-87.81,270.0,10,M,M
