station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2026-09-21 12:00:00,4,153.0,13929.92,-65.1,-67.8,M,M,M,M
KOKX,2026-09-21 12:00:00,4,150.72,14021.0,-65.4,-68.03,265.0,51,M,M
KOKX,2026-09-21 12:00:00,4,150.0,14050.0,-65.5,-68.1,275.0,44,M,M
KOKX,2026-09-21 12:00:00,4,149.0,14090.63,-65.5,-68.0,M,M,M,M
KOKX,2026-09-21 12:00:00,4,146.0,14214.13,-65.7,-68.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,143.33,14326.0,-66.23,-68.88,270.0,43,M,M
KOKX,2026-09-21 12:00:00,4,143.0,14339.96,-66.3,-68.9,M,M,M,M
KOKX,2026-09-21 12:00:00,4,142.0,14382.42,-66.3,-68.9,270.0,48,M,M
KOKX,2026-09-21 12:00:00,4,136.33,14630.0,-64.69,-68.42,270.0,50,M,M
KOKX,2026-09-21 12:00:00,4,135.0,14689.81,-64.3,-68.3,M,M,M,M
KOKX,2026-09-21 12:00:00,4,129.64,14935.0,-65.08,-69.51,280.0,44,M,M
KOKX,2026-09-21 12:00:00,4,123.28,15240.0,-66.05,-71.02,265.0,43,M,M
KOKX,2026-09-21 12:00:00,4,117.22,15545.0,-67.02,-72.53,280.0,38,M,M
KOKX,2026-09-21 12:00:00,4,112.0,15821.16,-67.9,-73.9,M,M,M,M
KOKX,2026-09-21 12:00:00,4,111.46,15850.0,-68.04,-74.22,285.0,39,M,M
KOKX,2026-09-21 12:00:00,4,109.0,15983.88,-68.7,-75.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,107.0,16094.64,-68.7,-75.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,106.0,16150.8,-68.7,-75.7,M,M,M,M
KOKX,2026-09-21 12:00:00,4,105.94,16154.0,-68.69,-75.7,260.0,34,M,M
KOKX,2026-09-21 12:00:00,4,100.69,16459.0,-67.99,-75.88,255.0,40,M,M
